CountyName,RecType,RCD,Type,School,FacilityName,Administrator,Mailing Address,Delivery Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID,Website,LastUpdated
Adams,Dist,010010010,26,0000,Payson CUSD 1,Dr. Donna Veile,406 W State St,,Payson,62360 1041,217-656-3323,P-12,100,50,15,2,1730990,http://www.cusd1.org,20250620 05:00:02
Adams,Sch,010010010,26,0001,Seymour High School,Mr. Greg Buescher,420 W Brainard St,,Payson,62360 1033,217-656-3355,12-Jul,100,50,15,4,1.73099E+11,http://www.cusd1.org,20250620 05:00:02
Adams,Sch,010010010,26,2002,Seymour Elementary School,Ms. Julie Phelan,404 W State St,,Payson,62360 1041,217-656-3323,P-6,100,50,15,4,1.73099E+11,,20250620 05:00:02
Adams,Dist,010010020,26,0000,Liberty CUSD 2,Dr. Kelle Bunch,505 N Park St,,Liberty,62347 1107,217-645-3433,P-12,100,50,15,2,1722770,http://www.libertyschool.net,20250620 05:00:02
Adams,Sch,010010020,26,0001,Liberty High School,Ms. Kimberly  Harrison,505 N Park St,,Liberty,62347 1107,217-645-3433,12-Jul,100,50,15,4,1.72277E+11,http://www.libertyschool.net,20250620 05:00:02
Adams,Sch,010010020,26,2002,Liberty Elementary School,Mrs. Jody Obert,505 N Park St,,Liberty,62347 1107,217-645-3481,P-6,100,50,15,4,1.72277E+11,http://www.libertyschool.net,20250620 05:00:02
Adams,Dist,010010030,26,0000,Central CUSD 3,Mrs. Erica Smith,2110 Highway 94 N,,Camp Point,62320 2516,217-593-7116,P-12,099,50,15,2,1708220,http://www.cusd3.com,20250620 05:00:02
Adams,Sch,010010030,26,0001,Central High School,Mr. Zak Huston,2110 Highway 94 N,,Camp Point,62320 2516,217-593-7731,12-Sep,099,50,15,4,1.70822E+11,http://www.cusd3.com,20250620 05:00:02
Adams,Sch,010010030,26,1001,Central Junior High School,Mr. Tracy Rhea,2110 Highway 94 N,,Camp Point,62320 2516,217-593-7741,8-May,099,50,15,4,1.70822E+11,http://www.cusd3.com,20250620 05:00:02
Adams,Sch,010010030,26,2003,Central Early Childhood,Mrs. Amanda Shoopman,301 Hanna St,301 Hanna St,Golden,62339 1035,217-696-4652,"P,K",099,50,15,4,1.70822E+11,,20250620 05:00:02
Adams,Sch,010010030,26,2008,Central Elementary School,Mrs. Chevi Ingalls,109 W School St,109 W School St,Camp Point,62320 1138,217-593-7795,4-Jan,094,47,15,4,1.70822E+11,http://www.cusd3.com,20250620 05:00:02
Adams,Dist,010010040,26,0000,CUSD 4,Mr. Scott Riddle,PO Box 200,453 W Collins St,Mendon,62351 0200,217-936-2111,P-12,099,50,15,2,1725590,http://www.cusd4.com,20250620 05:00:02
Adams,Sch,010010040,26,0001,Unity High School,Mr. Joshua Arnsman,PO Box 200,453 W Collins St,Mendon,62351 0200,217-936-2116,12-Sep,099,50,15,4,1.72559E+11,http://www.cusd4.com/,20250620 05:00:02
Adams,Sch,010010040,26,2006,Unity Elementary School,Michelle Sheffler,136 W Washington St,136 W Washington St,Mendon,62351 1223,217-936-2512,P-4,099,50,15,4,1.72559E+11,http://www.cusd4.com,20250620 05:00:02
Adams,Sch,010010040,26,2007,Unity Middle School,Mr. Joshua Arnsman,PO Box 200,453 W Collins St,Mendon,62351 0200,217-936-2727,8-May,099,50,15,4,1.72559E+11,http://www.cusd4.com/,20250620 05:00:02
Adams,Dist,010011720,22,0000,Quincy SD 172,Dr. Todd Pettit,1416 Maine St,,Quincy,62301 4261,217-223-8700,P-12,099,50,15,2,1733000,http://www.qps.org,20250620 05:00:02
Adams,Sch,010011720,22,0003,Quincy Sr High School,Mr. Jody Steinke,3322 Maine St,,Quincy,62301 4439,217-224-3770,12-Sep,099,50,15,4,1.733E+11,http://www.qps.org,20250620 05:00:02
Adams,Sch,010011720,22,1003,Quincy Jr High School,Mrs. Brenda Fleer,100 S 14th St,,Quincy,62301 4209,217-222-3073,8-Jun,099,50,15,4,1.733E+11,http://www.qps.org,20250620 05:00:02
Adams,Sch,010011720,22,2004,Sarah Atwater Denman Elementary School,Ms. Amber Whicker,4100 Harrison Street,,Quincy,62305 6030,217-222-2530,K-5,099,50,15,4,1.733E+11,,20250620 05:00:02
Adams,Sch,010011720,22,2006,Colonel George Iles Elementary School,Mr. Brad Funkenbusch,3111 N 12th St,,Quincy,62305,217-222-4059,K-5,099,50,15,4,1.733E+11,http://www.qps.org,20250620 05:00:02
Adams,Sch,010011720,22,2009,Thomas S Baldwin Elementary School,Mr. James Sohn,3000 Maine St,,Quincy,62301 4417,217-223-0003,K-5,099,50,15,4,1.733E+11,http://www.qps.org,20250620 05:00:02
Adams,Sch,010011720,22,2016,Lincoln-Douglas Elementary School,Mr. Brian Trowbridge,3211 Payson Rd,,Quincy,62305 6441,217-223-8871,K-5,099,50,15,4,1.733E+11,http://www.qps.org,20250620 05:00:02
Adams,Sch,010011720,22,2017,Dr. Abby Fox Rooney Elementary School,Mr. Jason Fink,4900 Columbus Rd,,Quincy,62305,217-228-7117,K-5,099,50,15,4,1.733E+11,,20250620 05:00:02
Adams,Sch,010011720,22,3004,Early Childhood,Mrs. Sara Cramer,401 S 8th St,,Quincy,62301 4149,217-228-7121,"P,K",099,50,15,4,1.733E+11,,20250620 05:00:02
Adams,Sch,010011720,22,3005,Adams Co Juvenile Detention Cntr,Mr. LaMarrio Rodgers,200 N 52nd St,,Quincy,62305 9114,217-277-2233,12-May,099,50,15,4,1.733E+11,http://www.qps.org,20250620 05:00:02
Brown,Dist,010050010,26,0000,Brown County CUSD 1,Dr. Lan Eberle,502 E Main St,,Mt Sterling,62353 1377,217-773-7401,P-12,099,50,15,2,1727300,http://www.bchornets.com,20250620 05:00:02
Brown,Sch,010050010,26,0001,Brown County High School,Mrs. Pollee Craven,500 E Main St,,Mount Sterling,62353 1377,217-773-7702,12-Sep,099,50,15,4,1.7273E+11,http://www.bchornets.com,20250620 05:00:02
Brown,Sch,010050010,26,1002,Brown County Middle School,Mr. Alex Ebbing,504 E Main Street,,Mount Sterling,62353 1377,217-773-7601,8-May,099,50,15,4,1.7273E+11,http://www.bchornets.com,20250620 05:00:02
Brown,Sch,010050010,26,2002,Brown County Elementary School,Mrs. Lisa Hannel,501 NW Cross St,,Mount Sterling,62353 1149,217-773-7501,P-4,099,50,15,4,1.7273E+11,http://www.bchornets.com,20250620 05:00:02
Cass,Dist,010090150,26,0000,Beardstown CUSD 15,Mr. Brent ODaniell,500 E 15th St,,Beardstown,62618 2052,217-323-3099,P-12,099,50,15,2,1705310,http://beardstown.com,20250620 05:00:02
Cass,Sch,010090150,26,0007,Beardstown Jr/Sr High School,Mr. Josh Sorrells,500 E 15th St,,Beardstown,62618 2052,217-323-3665,12-May,099,50,15,4,1.70531E+11,http://www.beardstown.com,20250620 05:00:02
Cass,Sch,010090150,26,2003,Gard Elementary School,Mr. Nathan Theis,400 E 15th St,,Beardstown,62618 2054,217-323-1364,P-4,099,50,15,4,1.70531E+11,http://www.beardstown.com,20250620 05:00:02
Cass,Dist,010090640,26,0000,Virginia CUSD 64,Mrs. Mekelle Neathery,651 S Morgan St,,Virginia,62691 1547,217-452-3085,P-12,099,50,15,2,1740410,http://www.virginia64.com,20250620 05:00:02
Cass,Sch,010090640,26,0003,Virginia Jr/ Sr High School,Matt Owens,651 S Morgan St,,Virginia,62691 1547,217-452-3087,12-Jun,099,50,15,4,1.74041E+11,http://www.virginia64.com,20250620 05:00:02
Cass,Sch,010090640,26,2001,Virginia Elem School,Mr. Jeff Bourne,651 S Morgan St,,Virginia,62691 1547,217-452-3363,P-5,099,50,15,4,1.74041E+11,http://www.virginia64.com,20250620 05:00:02
Cass,Dist,010092620,26,0000,A-C Central CUSD 262,Dr. Amy Zahm,PO Box 260,501 W Buchanan St,Ashland,62612 0260,217-476-8112,P-12,099,50,15,2,1700105,http://www.a-ccentral.com,20250620 05:00:02
Cass,Sch,010092620,26,0002,A-C Central High School,Mr. Anthony Mansur,PO Box 260,601 W Buchanan St,Ashland,62612 0260,217-476-3312,12-Sep,099,50,15,4,1.70011E+11,http://www.a-ccentral.com,20250620 05:00:02
Cass,Sch,010092620,26,1002,A-C Central Middle School,Mr. Anthony Mansur,PO Box 260,601 W Buchanan St,Ashland,62612 0260,217-476-3312,8-May,099,50,15,4,1.70011E+11,http://www.a-ccentral.com,20250620 05:00:02
